"date","gdp_growth","nfci"
1973-01-01,9.77924471360154,0.674769230769231
1973-04-01,4.33143717205553,1.19046153846154
1973-07-01,-2.1089028974167,2.02215384615385
1973-10-01,3.77901581247357,2.12207692307692
1974-01-01,-3.45368819245095,0.826461538461538
1974-04-01,0.949659832838989,2.96038461538462
1974-07-01,-3.79909394945557,4.77907692307692
1974-10-01,-1.55664810512874,3.00592307692308
1975-01-01,-4.90043291965492,1.46253846153846
1975-04-01,2.84863721820656,0.110461538461538
1975-07-01,6.79021714338646,-0.092
1975-10-01,5.35240107360053,0.0582307692307692
1976-01-01,8.89816092106201,-0.579153846153846
1976-04-01,2.92279170502638,-0.573307692307692
1976-07-01,2.18365901941908,-0.648384615384615
1976-10-01,2.8800212034291,-0.697285714285714
1977-01-01,4.71701020920605,-0.89575
1977-04-01,7.69323516144667,-0.608384615384615
1977-07-01,7.14840309815727,-0.474571428571429
1977-10-01,0.00797103914820241,-0.254076923076923
1978-01-01,1.27732693056473,-0.194461538461538
1978-04-01,15.1678417690114,0.437
1978-07-01,4.00289903896365,0.596769230769231
1978-10-01,5.34068877714304,1.72969230769231
1979-01-01,0.717730947713591,0.803769230769231
1979-04-01,0.426753423815995,0.452384615384615
1979-07-01,2.96023791839559,1.50515384615385
1979-10-01,0.998932306801947,2.30746153846154
1980-01-01,1.25630965617276,2.44492307692308
1980-04-01,-8.32783193262969,3.07861538461538
1980-07-01,-0.475701752249336,0.958307692307692
1980-10-01,7.39098739436841,2.40507692307692
1981-01-01,7.76189067214403,2.385
1981-04-01,-2.97534126013801,2.41992307692308
1981-07-01,4.7615550027686,3.33346153846154
1981-10-01,-4.38230524809313,2.53346153846154
1982-01-01,-6.26336073076317,1.99061538461538
1982-04-01,1.82055917655219,2.46484615384615
1982-07-01,-1.53199737122236,3.20307692307692
1982-10-01,0.160003146324073,1.66057142857143
1983-01-01,5.23673234999649,0.164166666666667
1983-04-01,9.00006581796546,-0.125076923076923
1983-07-01,7.91695132273134,-0.0991428571428571
1983-10-01,8.2588793096015,0.0463846153846154
1984-01-01,7.74371884022784,-0.113461538461538
1984-04-01,6.85202204023838,0.711538461538462
1984-07-01,3.83757247239487,0.754384615384615
1984-10-01,3.26969168765672,-0.024
1985-01-01,3.85725892645894,-0.339538461538462
1985-04-01,3.50648002994447,-0.396846153846154
1985-07-01,6.06290414953108,-0.237153846153846
1985-10-01,2.96279673147666,-0.285846153846154
1986-01-01,3.71766062144516,-0.288307692307692
1986-04-01,1.79714221803025,-0.443923076923077
1986-07-01,3.80848378140115,-0.539
1986-10-01,2.13983766684649,-0.542923076923077
1987-01-01,2.95642719741664,-0.426461538461538
1987-04-01,4.28962700829842,0.405
1987-07-01,3.4537585332302,0.163692307692308
1987-10-01,6.80953493302283,0.984461538461538
1988-01-01,2.06220515230129,0.307923076923077
1988-04-01,5.22189507020983,0.242923076923077
1988-07-01,2.33703808191024,0.367285714285714
1988-10-01,5.29462774961402,0.170230769230769
1989-01-01,4.04505757048454,0.381538461538462
1989-04-01,3.0408111201389,0.457923076923077
