nrate no3 ryp depth
0	9.69	59.9	30
100	23.85	91.5	30
200	41.15	103.1	30
300	54.51	101.2	30
0	9.42	59.5	60
100	18.59	107.5	60
200	29.21	98.3	60
300	29.87	91.9	60
0	11.49	84.6	60
100	20.85	105.8	60
200	27.64	104.5	60
300	44.5	99.8	60
0	9.27	47.8	60
100	17.87	92	60
200	20.73	95.7	60
300	17.89	93.2	60
0	7.08	39.1	60
100	16.01	87.9	60
200	14.48	97.3	60
300	15.26	101.4	60
0	5.41	53.2	60
100	13.15	98.5	60
200	14.51	99.2	60
300	14.63	98.8	60
0	5.9	39.2	60
100	14.77	89.2	60
200	20.51	102.8	60
300	21.07	100.9	60
0	10.95	67.3	60
100	24.07	100.7	60
200	29.95	103.3	60
300	30.7	99.2	60
0	10.21	63.5	60
100	20.45	77	60
200	26.87	97.6	60
300	29.99	99.4	60
0	12.96	87	60
100	24.06	103.7	60
200	24.45	100	60
300	34.41	95.4	60
0	12.19	53.9	60
100	19.38	86.1	60
200	28.02	92.6	60
300	38.97	99.8	60
0	8.74	63.9	60
100	16.03	87.4	60
200	28.54	105.4	60
300	27.59	89.5	60
0	10.07	60	60
100	16.99	92.5	60
200	24.7	107.9	60
300	31.39	98.5	60
0	10.49	64.7	60
100	22.65	93.6	60
200	31.85	102.5	60
300	36.01	100.3	60
0	9.41	70	60
100	15.37	93.3	60
200	18.25	107.3	60
300	22.92	99.8	60
0	8.71	31.7	60
100	13.59	84	60
200	16.76	98.3	60
300	18.85	101	60
0	9.17	43	60
100	13.9	74.8	60
200	16.73	98.4	60
300	20.52	100.8	60
0	13.46	79.8	60
100	20.72	96.1	60
200	23.36	101.7	60
300	27.5	97.7	60
0	10.53	60.9	60
100	15.3	91.3	60
200	31.58	93.3	60
300	46.69	100.8	60
0	7.67	42.6	60
100	18.62	103	60
200	35.25	76.9	60
300	56.51	91.3	60
0	14.12	72.8	60
100	22.52	94.2	60
200	32.17	98.5	60
300	36.06	95.6	60
0	13.58	85.6	60
100	36.01	100.6	60
200	68.7	100.9	60
300	80.31	96.8	60
0	14.67	91.5	60
100	24.85	101.6	60
200	42	99.3	60
300	60.34	102	60
0	6.94	38.2	60
100	16.18	89.8	60
200	23.37	99.1	60
300	21.66	100.7	60
0	10.42	63.2	60
100	20.68	86.6	60
200	25.78	106.8	60
300	31.67	101.6	60
0	6.03	39.7	60
100	19	88.2	60
200	35.83	100.1	60
300	45.11	101.5	60
0	9.92	75.3	60
100	18.59	91.1	60
200	25.82	99.9	60
300	29.77	97.9	60
0	6.52	38.4	60
100	17.28	89.6	60
200	36.67	98.1	60
300	56.53	98	60
0	8.83	59.2	60
100	19.58	89.8	60
200	26.4	102.4	60
300	38.67	100.6	60
0	12.83	77.2	60
100	21.23	104.5	60
200	38.65	101.4	60
300	36.62	98.3	60
0	7.54	59.9	60
100	16.97	91.5	60
200	25.86	103.1	60
300	36.89	101.2	60
0	9.42	59.5	60
100	18.59	107.5	60
200	29.21	98.3	60
300	29.87	91.9	60
0	11.49	84.6	60
100	20.85	105.8	60
200	27.64	104.5	60
300	44.5	99.8	60
0	9.27	47.8	60
100	17.87	92	60
200	20.73	95.7	60
300	17.89	93.2	60
0	7.08	39.1	60
100	16.01	87.9	60
200	14.48	97.3	60
300	15.26	101.4	60
0	5.41	53.2	60
100	13.15	98.5	60
200	14.51	99.2	60
300	14.63	98.8	60
0	5.9	39.2	60
100	14.77	89.2	60
200	20.51	102.8	60
300	21.07	100.9	60
0	10.95	67.3	60
100	24.07	100.7	60
200	29.95	103.3	60
300	30.7	99.2	60
0	10.21	63.5	60
100	20.45	77	60
200	26.87	97.6	60
300	29.99	99.4	60
0	12.96	87	60
100	24.06	103.7	60
200	24.45	100	60
300	34.41	95.4	60
0	12.19	53.9	60
100	19.38	86.1	60
200	28.02	92.6	60
300	38.97	99.8	60
0	8.74	63.9	60
100	16.03	87.4	60
200	28.54	105.4	60
300	27.59	89.5	60
0	10.07	60	60
100	16.99	92.5	60
200	24.7	107.9	60
