parameter,pyblp
sd_intercept,0.5580936001655273
sd_price,3.3124890692268205
sd_sugar,-0.005783557940026381
sd_mushy,0.09341449709840179
income_intercept,2.291971296374973
age_intercept,1.2844319566707316
income_price,588.3251144281876
income_sq_price,-30.192013985926323
child_price,11.054627486365485
income_sugar,-0.38495407784540303
age_sugar,0.05223426750385911
income_mushy,0.7483720098854076
age_mushy,-1.353393151419699
mean_own_elasticity,-3.6181052952113544
median_markup,0.3370791116568871
beta_price,-62.72989722529474
