potential_taus,TE_lower,TE_upper,TE_FRD_CIs_manipulation_lower,TE_FRD_CIs_manipulation_upper
0.025,91,106,84.9250115157454,112.699165126072
0.05,77,114,66.7805297350961,120.917468267748
0.06369131,70,119,60.4751381693445,125.740722158671
0.1,56,133,48.359256041343,141.176389948136
0.2,23,182,17.2507665256483,194.92758338825
