"cohort","membership_age","num_active","num_users","membership_age_in_breach","activity_name"
4,17,30,1403,23,"Deleted Photos"
4,18,39,1403,23,"Deleted Photos"
4,19,25,1403,23,"Deleted Photos"
4,20,24,1403,23,"Deleted Photos"
4,21,24,1403,23,"Deleted Photos"
4,22,26,1403,23,"Deleted Photos"
4,23,59,1403,23,"Deleted Photos"
4,24,16,1403,23,"Deleted Photos"
4,25,16,1403,23,"Deleted Photos"
5,0,282,1497,22,"Deleted Photos"
5,1,231,1497,22,"Deleted Photos"
5,2,124,1497,22,"Deleted Photos"
5,3,97,1497,22,"Deleted Photos"
5,4,77,1497,22,"Deleted Photos"
5,5,52,1497,22,"Deleted Photos"
5,6,58,1497,22,"Deleted Photos"
5,7,57,1497,22,"Deleted Photos"
5,8,50,1497,22,"Deleted Photos"
5,9,51,1497,22,"Deleted Photos"
5,10,34,1497,22,"Deleted Photos"
5,11,50,1497,22,"Deleted Photos"
5,12,41,1497,22,"Deleted Photos"
5,13,28,1497,22,"Deleted Photos"
5,14,42,1497,22,"Deleted Photos"
5,15,26,1497,22,"Deleted Photos"
5,16,31,1497,22,"Deleted Photos"
5,17,21,1497,22,"Deleted Photos"
5,18,26,1497,22,"Deleted Photos"
5,19,20,1497,22,"Deleted Photos"
5,20,26,1497,22,"Deleted Photos"
5,21,21,1497,22,"Deleted Photos"
5,22,58,1497,22,"Deleted Photos"
5,23,18,1497,22,"Deleted Photos"
5,24,9,1497,22,"Deleted Photos"
6,0,283,1394,21,"Deleted Photos"
6,1,215,1394,21,"Deleted Photos"
6,2,135,1394,21,"Deleted Photos"
6,3,107,1394,21,"Deleted Photos"
6,4,61,1394,21,"Deleted Photos"
6,5,71,1394,21,"Deleted Photos"
6,6,51,1394,21,"Deleted Photos"
6,7,38,1394,21,"Deleted Photos"
6,8,50,1394,21,"Deleted Photos"
6,9,44,1394,21,"Deleted Photos"
6,10,30,1394,21,"Deleted Photos"
6,11,26,1394,21,"Deleted Photos"
6,12,32,1394,21,"Deleted Photos"
6,13,31,1394,21,"Deleted Photos"
6,14,43,1394,21,"Deleted Photos"
6,15,23,1394,21,"Deleted Photos"
6,16,33,1394,21,"Deleted Photos"
6,17,25,1394,21,"Deleted Photos"
6,18,12,1394,21,"Deleted Photos"
6,19,24,1394,21,"Deleted Photos"
6,20,12,1394,21,"Deleted Photos"
6,21,64,1394,21,"Deleted Photos"
6,22,21,1394,21,"Deleted Photos"
6,23,25,1394,21,"Deleted Photos"
7,0,274,1488,20,"Deleted Photos"
7,1,213,1488,20,"Deleted Photos"
7,2,155,1488,20,"Deleted Photos"
7,3,105,1488,20,"Deleted Photos"
7,4,67,1488,20,"Deleted Photos"
7,5,65,1488,20,"Deleted Photos"
7,6,67,1488,20,"Deleted Photos"
7,7,59,1488,20,"Deleted Photos"
7,8,37,1488,20,"Deleted Photos"
7,9,30,1488,20,"Deleted Photos"
7,10,22,1488,20,"Deleted Photos"
7,11,29,1488,20,"Deleted Photos"
7,12,21,1488,20,"Deleted Photos"
7,13,28,1488,20,"Deleted Photos"
7,14,22,1488,20,"Deleted Photos"
7,15,33,1488,20,"Deleted Photos"
7,16,21,1488,20,"Deleted Photos"
7,17,23,1488,20,"Deleted Photos"
7,18,18,1488,20,"Deleted Photos"
7,19,24,1488,20,"Deleted Photos"
7,20,53,1488,20,"Deleted Photos"
7,21,22,1488,20,"Deleted Photos"
7,22,23,1488,20,"Deleted Photos"
8,0,274,1409,19,"Deleted Photos"
8,1,249,1409,19,"Deleted Photos"
8,2,136,1409,19,"Deleted Photos"
8,3,72,1409,19,"Deleted Photos"
8,4,76,1409,19,"Deleted Photos"
8,5,59,1409,19,"Deleted Photos"
8,6,35,1409,19,"Deleted Photos"
8,7,49,1409,19,"Deleted Photos"
8,8,34,1409,19,"Deleted Photos"
8,9,45,1409,19,"Deleted Photos"
8,10,44,1409,19,"Deleted Photos"
8,11,36,1409,19,"Deleted Photos"
8,12,38,1409,19,"Deleted Photos"
8,13,36,1409,19,"Deleted Photos"
8,14,41,1409,19,"Deleted Photos"
8,15,22,1409,19,"Deleted Photos"
8,16,13,1409,19,"Deleted Photos"
8,17,31,1409,19,"Deleted Photos"
8,18,31,1409,19,"Deleted Photos"
8,19,64,1409,19,"Deleted Photos"
8,20,16,1409,19,"Deleted Photos"
8,21,13,1409,19,"Deleted Photos"
9,0,236,1392,18,"Deleted Photos"
9,1,207,1392,18,"Deleted Photos"
9,2,99,1392,18,"Deleted Photos"
9,3,69,1392,18,"Deleted Photos"
9,4,51,1392,18,"Deleted Photos"
9,5,74,1392,18,"Deleted Photos"
9,6,49,1392,18,"Deleted Photos"
9,7,22,1392,18,"Deleted Photos"
9,8,27,1392,18,"Deleted Photos"
9,9,29,1392,18,"Deleted Photos"
9,10,28,1392,18,"Deleted Photos"
9,11,37,1392,18,"Deleted Photos"
